country,countryLabel,continentLabel,capitalLabel,population,area,gdp,gdpPerCapitaCalculated,currencyLabel
http://www.wikidata.org/entity/Q1025,Мавритания,Африка,Нуакшот,4736139,1030700,10375460680,2190.70020537826275791314,Мавританская угия
http://www.wikidata.org/entity/Q945,Того,Африка,Ломе,7797694,56785,9930000000,1273.45340814861419286266,франк КФА BCEAO
http://www.wikidata.org/entity/Q1246,Республика Косово,Европа,Приштина,1586659,10909,9429156202,5942.77422054770432714276,евро
http://www.wikidata.org/entity/Q235,Монако,Европа,Монако,38857,2.08,8596156574,221225.43104202588980106545,евро
http://www.wikidata.org/entity/Q1045,Сомали,Африка,Могадишо,11031386,637657,8126105600,736.63505202338128681201,сомалийский шиллинг
http://www.wikidata.org/entity/Q347,Лихтенштейн,Европа,Вадуц,37922,160,7186428783,189505.53196033964453351616,швейцарский франк
http://www.wikidata.org/entity/Q826,Мальдивы,Азия,Мале,436330,298,6189865408,14186.20174638461714757179,мальдивская руфия
http://www.wikidata.org/entity/Q236,Черногория,Европа,Подгорица,617213,13883,6095978868,9876.62098497601314295065,евро
http://www.wikidata.org/entity/Q244,Барбадос,Северная Америка,Бриджтаун,303431,439,5637914515,18580.54883976917322224822,барбадосский доллар
http://www.wikidata.org/entity/Q712,Фиджи,Океания,Сува,926276,18274,4943248200,5336.69036010865012156204,доллар Фиджи
http://www.wikidata.org/entity/Q1050,Эсватини,Африка,Мбабане,1230506,17364,4854167638,3944.85491171924395330051,Свазилендский лилангени
http://www.wikidata.org/entity/Q1050,Эсватини,Африка,Лобамба,1230506,17364,4854167638,3944.85491171924395330051,Свазилендский лилангени
http://www.wikidata.org/entity/Q1000,Габон,Африка,Либревиль,2025137,267667,4800000000,2370.21001542117891283405,франк КФА BEAC
http://www.wikidata.org/entity/Q1044,Сьерра-Леоне,Африка,Фритаун,7557212,71740,4249234574,562.27542299991054902258,леоне
http://www.wikidata.org/entity/Q1014,Либерия,Африка,Монровия,5214030,111369,4001047150,767.36174321973598157279,Либерийский доллар
http://www.wikidata.org/entity/Q574,Восточный Тимор,Азия,Дили,1243235,14918.72,3621222400,2912.74167796112561181112,доллар США
http://www.wikidata.org/entity/Q574,Восточный Тимор,Азия,Дили,1243235,14918.72,3621222400,2912.74167796112561181112,тиморское сентаво
http://www.wikidata.org/entity/Q730,Суринам,Южная Америка,Парамарибо,563402,163270,3620655116,6426.41509259818034014789,суринамский доллар
http://www.wikidata.org/entity/Q977,Джибути,Африка,Джибути,1152944,23200,3515109075,3048.81162918580607557696,Франк Джибути
http://www.wikidata.org/entity/Q228,Андорра,Европа,Андорра-ла-Велья,87486,468,3352032737,38315.07597787074503349107,евро
http://www.wikidata.org/entity/Q967,Бурунди,Африка,Гитега,13689450,27834,3338722830,243.89020961397280387452,бурундийский франк
http://www.wikidata.org/entity/Q223,Гренландия,Северная Америка,Нуук,56609,2166086,3235816195,57160.8082637036513628575,датская крона
http://www.wikidata.org/entity/Q21203,Аруба,Северная Америка,Ораньестад,106739,178.916378,3126019385,29286.57177788811961888344,арубанский флорин
http://www.wikidata.org/entity/Q242,Белиз,Северная Америка,Бельмопан,411106,22966,2824081836,6869.47365399677941941981,белизский доллар
http://www.wikidata.org/entity/Q25279,Кюрасао,Северная Америка,Виллемстад,152849,444,2699612458,17661.95695097776236678029,Карибский гульден
http://www.wikidata.org/entity/Q1013,Лесото,Африка,Масеру,2007201,30355,2553459763,1272.14950719932881659585,южноафриканский рэнд
http://www.wikidata.org/entity/Q1013,Лесото,Африка,Масеру,2007201,30355,2553459763,1272.14950719932881659585,Лоти Лесото
http://www.wikidata.org/entity/Q917,Бутан,Азия,Тхимпху,787424,38394,2539551327,3225.13833335026618441907,нгултрум
http://www.wikidata.org/entity/Q929,Центральноафриканская Республика,Африка,Банги,5152421,622984,2516498412,488.41086782310684627673,франк КФА BEAC
http://www.wikidata.org/entity/Q1005,Гамбия,Африка,Банжул,2639916,11300,2396111020,907.64669027347839855511,гамбийский даласи
http://www.wikidata.org/entity/Q1011,Кабо-Верде,Африка,Прая,555988,4033,2314816792,4163.42941214558587595416,Эскудо Кабо-Верде
