country,countryLabel,continentLabel,capitalLabel,area,gdp,gdpPerCapita,currencyLabel
http://www.wikidata.org/entity/Q711,Монголия,Азия,Улан-Батор,1564116,16810883361,,монгольский тугрик
http://www.wikidata.org/entity/Q921,Бруней,Азия,Бандар-Сери-Бегаван,5765.313533,16681531646,,брунейский доллар
http://www.wikidata.org/entity/Q811,Никарагуа,Северная Америка,Манагуа,120340,15671583878,,никарагуанская кордоба
http://www.wikidata.org/entity/Q734,Гайана,Южная Америка,Джорджтаун,214970,15357537068,,гайанский доллар
http://www.wikidata.org/entity/Q1019,Мадагаскар,Африка,Антананариву,587295,14954967604,,малагасийский ариари
http://www.wikidata.org/entity/Q1032,Нигер,Африка,Ниамей,1267000,14915002098,,франк КФА BCEAO
http://www.wikidata.org/entity/Q971,Республика Конго,Африка,Браззавиль,342000,14615532210,,франк КФА BEAC
http://www.wikidata.org/entity/Q217,Молдова,Европа,Кишинёв,33843.5,14420947884,,молдавский лей
http://www.wikidata.org/entity/Q778,Багамские Острова,Северная Америка,Нассау,13878,14338500000,,багамский доллар
http://www.wikidata.org/entity/Q1037,Руанда,Африка,Кигали,26338,14251642230,,руандийский франк
http://www.wikidata.org/entity/Q221,Северная Македония,Европа,Скопье,25713,13825049832,,македонский денар
http://www.wikidata.org/entity/Q1020,Малави,Африка,Лилонгве,118484,13164667627,,малавийская квача
http://www.wikidata.org/entity/Q1027,Маврикий,Африка,Порт-Луи,2040,12898307089,,Маврикийская рупия
http://www.wikidata.org/entity/Q657,Чад,Африка,Нджамена,1284000,12704149842,,франк КФА BEAC
http://www.wikidata.org/entity/Q1030,Намибия,Африка,Виндхук,825615,12607436976,,южноафриканский рэнд
http://www.wikidata.org/entity/Q983,Экваториальная Гвинея,Африка,Сьюдад-де-ла-Пас,28051,12269393392,,франк КФА BEAC
http://www.wikidata.org/entity/Q813,Кыргызстан,Азия,Бишкек,199951,10930644915,,киргизский сом
http://www.wikidata.org/entity/Q863,Таджикистан,Азия,Душанбе,143100,10492123388,,таджикский сомони
http://www.wikidata.org/entity/Q1025,Мавритания,Африка,Нуакшот,1030700,10375460680,,Мавританская угия
http://www.wikidata.org/entity/Q945,Того,Африка,Ломе,56785,9930000000,,франк КФА BCEAO
http://www.wikidata.org/entity/Q1246,Республика Косово,Европа,Приштина,10909,9429156202,,евро
http://www.wikidata.org/entity/Q235,Монако,Европа,Монако,2.08,8596156574,,евро
http://www.wikidata.org/entity/Q1045,Сомали,Африка,Могадишо,637657,8126105600,,сомалийский шиллинг
http://www.wikidata.org/entity/Q347,Лихтенштейн,Европа,Вадуц,160,7186428783,,швейцарский франк
http://www.wikidata.org/entity/Q826,Мальдивы,Азия,Мале,298,6189865408,,мальдивская руфия
http://www.wikidata.org/entity/Q236,Черногория,Европа,Подгорица,13883,6095978868,,евро
http://www.wikidata.org/entity/Q244,Барбадос,Северная Америка,Бриджтаун,439,5637914515,18798,барбадосский доллар
http://www.wikidata.org/entity/Q712,Фиджи,Океания,Сува,18274,4943248200,,доллар Фиджи
http://www.wikidata.org/entity/Q1050,Эсватини,Африка,Лобамба,17364,4854167638,,Свазилендский лилангени
http://www.wikidata.org/entity/Q1000,Габон,Африка,Либревиль,267667,4800000000,,франк КФА BEAC
http://www.wikidata.org/entity/Q1044,Сьерра-Леоне,Африка,Фритаун,71740,4249234574,,леоне
http://www.wikidata.org/entity/Q1014,Либерия,Африка,Монровия,111369,4001047150,,Либерийский доллар
http://www.wikidata.org/entity/Q574,Восточный Тимор,Азия,Дили,14918.72,3621222400,,доллар США
http://www.wikidata.org/entity/Q730,Суринам,Южная Америка,Парамарибо,163270,3620655116,,суринамский доллар
http://www.wikidata.org/entity/Q977,Джибути,Африка,Джибути,23200,3515109075,,Франк Джибути
http://www.wikidata.org/entity/Q228,Андорра,Европа,Андорра-ла-Велья,468,3352032737,,евро
http://www.wikidata.org/entity/Q967,Бурунди,Африка,Гитега,27834,3338722830,,бурундийский франк
http://www.wikidata.org/entity/Q223,Гренландия,Северная Америка,Нуук,2166086,3235816195,,датская крона
